Symbol,From,To
MLM,2014-07-02,2020-02-04
DISCK,2014-08-07,2020-02-04
URI,2014-09-20,2020-02-04
UHS,2014-09-20,2020-02-04
RCL,2014-12-05,2020-02-04
HCA,2015-01-27,2020-02-04
SWKS,2015-03-12,2020-02-04
HSIC,2015-03-17,2020-02-04
EQIX,2015-03-20,2020-02-04
HBI,2015-03-20,2020-02-04
SLG,2015-03-20,2020-02-04
AAL,2015-03-23,2020-02-04
O,2015-04-07,2020-02-04
QRVO,2015-06-11,2020-02-04
JBHT,2015-07-01,2020-02-04
KHC,2015-07-06,2020-02-04
AAP,2015-07-09,2020-02-04
PYPL,2015-07-20,2020-02-04
ATVI,2015-08-31,2020-02-04
UAL,2015-09-03,2020-02-04
CMCSA,2015-09-18,2020-02-04
FOX,2015-09-18,2020-02-04
NWS,2015-09-18,2020-02-04
VRSK,2015-10-08,2020-02-04
HPE,2015-11-02,2020-02-04
SYF,2015-11-18,2020-02-04
ILMN,2015-11-19,2020-02-04
CHD,2015-12-29,2020-02-04
WLTW,2016-01-05,2020-02-04
EXR,2016-01-19,2020-02-04
CFG,2016-01-29,2020-02-04
FRT,2016-02-01,2020-02-04
CXO,2016-02-22,2020-02-04
AWK,2016-03-04,2020-02-04
UDR,2016-03-07,2020-02-04
UAA,2016-03-25,2020-02-04
CNC,2016-03-30,2020-02-04
HOLX,2016-03-30,2020-02-04
ULTA,2016-04-18,2020-02-04
GPN,2016-04-25,2020-02-04
ALK,2016-05-13,2020-02-04
DLR,2016-05-18,2020-02-04
LKQ,2016-05-23,2020-02-04
AJG,2016-05-31,2020-02-04
TDG,2016-06-03,2020-02-04
FBHS,2016-06-22,2020-02-04
ALB,2016-07-01,2020-02-04
LNT,2016-07-01,2020-02-04
FTV,2016-07-01,2020-02-04
MTD,2016-09-06,2020-02-04
CHTR,2016-09-08,2020-02-04
COO,2016-09-23,2020-02-04
COTY,2016-10-03,2020-02-04
MAA,2016-12-02,2020-02-04
IDXX,2017-01-05,2020-02-04
INCY,2017-02-28,2020-02-04
CBOE,2017-03-01,2020-02-04
REG,2017-03-02,2020-02-04
DISH,2017-03-13,2020-02-04
SNPS,2017-03-16,2020-02-04
AMD,2017-03-20,2020-02-04
ARE,2017-03-20,2020-02-04
RJF,2017-03-20,2020-02-04
DXC,2017-04-04,2020-02-04
IT,2017-04-05,2020-02-04
INFO,2017-06-02,2020-02-04
ALGN,2017-06-19,2020-02-04
ANSS,2017-06-19,2020-02-04
RE,2017-06-19,2020-02-04
HLT,2017-06-19,2020-02-04
BKR,2017-07-07,2020-02-04
AOS,2017-07-26,2020-02-04
DRE,2017-07-26,2020-02-04
MGM,2017-07-26,2020-02-04
PKG,2017-07-26,2020-02-04
RMD,2017-07-26,2020-02-04
IQV,2017-08-29,2020-02-04
SBAC,2017-09-01,2020-02-04
CDNS,2017-09-18,2020-02-04
NCLH,2017-10-13,2020-02-04
HII,2018-01-03,2020-02-04
IPGP,2018-03-07,2020-02-04
SIVB,2018-03-19,2020-02-04
TTWO,2018-03-19,2020-02-04
MSCI,2018-04-04,2020-02-04
ABMD,2018-05-31,2020-02-04
EVRG,2018-06-05,2020-02-04
TWTR,2018-06-07,2020-02-04
BR,2018-06-18,2020-02-04
HFC,2018-06-18,2020-02-04
FLT,2018-06-20,2020-02-04
CPRT,2018-07-02,2020-02-04
ANET,2018-08-28,2020-02-04
ROL,2018-10-01,2020-02-04
FTNT,2018-10-11,2020-02-04
KEYS,2018-11-06,2020-02-04
JKHY,2018-11-13,2020-02-04
FANG,2018-12-03,2020-02-04
LW,2018-12-03,2020-02-04
MXIM,2018-12-03,2020-02-04
CE,2018-12-24,2020-02-04
FRC,2019-01-02,2020-02-04
TFX,2019-01-18,2020-02-04
ATO,2019-02-15,2020-02-04
WAB,2019-02-27,2020-02-04
DOW,2019-04-01,2020-02-04
CTVA,2019-06-03,2020-02-04
AMCR,2019-06-07,2020-02-04
MKTX,2019-07-01,2020-02-04
TMUS,2019-07-15,2020-02-04
IEX,2019-08-09,2020-02-04
LDOS,2019-08-09,2020-02-04
CDW,2019-09-23,2020-02-04
NVR,2019-09-26,2020-02-04
LVS,2019-10-03,2020-02-04
NOW,2019-11-21,2020-02-04
WRB,2019-12-05,2020-02-04
ODFL,2019-12-09,2020-02-04
LYV,2019-12-23,2020-02-04
STE,2019-12-23,2020-02-04
ZBRA,2019-12-23,2020-02-04
PAYC,2020-01-28,2020-02-04
WCG,2018-09-14,2020-01-28
AMG,2014-07-01,2019-12-23
TRIP,2011-12-20,2019-12-23
MAC,2013-05-08,2019-12-23
STI,2000-01-01,2019-12-09
VIAB,2000-01-01,2019-12-05
CELG,2000-01-01,2019-11-21
NKTR,2018-03-19,2019-10-03
JEF,2000-01-01,2019-09-26
TSS,2000-01-01,2019-09-23
APC,2000-01-01,2019-08-09
FL,2016-04-04,2019-08-09
RHT,2000-01-01,2019-07-15
LLL,2000-01-01,2019-07-01
MAT,2000-01-01,2019-06-07
FLR,2000-01-01,2019-06-03
BHF,2017-08-08,2019-04-02
GT,2000-01-01,2019-02-27
NFX,2010-12-17,2019-02-15
PCG,2000-01-01,2019-01-18
SCG,2000-01-01,2019-01-02
ESRX,2003-09-25,2018-12-24
COL,2000-01-01,2018-12-03
AET,2000-01-01,2018-12-03
SRCL,2000-01-01,2018-12-03
EQT,2000-01-01,2018-11-13
CA,2000-01-01,2018-11-06
EVHC,2016-12-02,2018-10-11
ANDV,2000-01-01,2018-10-01
XL,2000-01-01,2018-09-14
GGP,2013-12-10,2018-08-28
DPS,2000-01-01,2018-07-02
TWX,2000-01-01,2018-06-20
RRC,2007-12-20,2018-06-18
AYI,2016-05-03,2018-06-18
MON,2000-01-01,2018-06-07
NAVI,2014-05-01,2018-06-05
WYN,2000-01-01,2018-05-31
CSRA,2015-12-01,2018-04-04
SIG,2015-07-29,2018-03-19
PDCO,2000-01-01,2018-03-19
CHK,2000-01-01,2018-03-19
SNI,2000-01-01,2018-03-07
BCR,2000-01-01,2018-01-03
LVLT,2014-11-05,2017-10-13
SPLS,2000-01-01,2017-09-18
DD,2000-01-01,2017-09-01
WFM,2000-01-01,2017-08-29
AN,2000-01-01,2017-08-08
RIG,2013-10-29,2017-07-26
BBBY,2000-01-01,2017-07-26
MUR,2000-01-01,2017-07-26
MNK,2014-08-18,2017-07-26
RAI,2000-01-01,2017-07-26
YHOO,2000-01-01,2017-06-19
TDC,2000-01-01,2017-06-19
R,2000-01-01,2017-06-19
MJN,2000-01-01,2017-06-19
TGNA,2000-01-01,2017-06-02
DNB,2000-01-01,2017-04-05
SWN,2000-01-01,2017-04-04
URBN,2000-01-01,2017-03-20
FTR,2000-01-01,2017-03-20
FSLR,2000-01-01,2017-03-20
HAR,2000-01-01,2017-03-16
LLTC,2000-01-01,2017-03-13
ENDP,2015-01-27,2017-03-02
PBI,2000-01-01,2017-03-01
SE,2000-01-01,2017-02-28
STJ,2000-01-01,2017-01-05
OI,2000-01-01,2016-12-02
LM,2000-01-01,2016-12-02
DO,2000-01-01,2016-09-30
HOT,2000-01-01,2016-09-22
EMC,2000-01-01,2016-09-08
JCI,2000-01-01,2016-09-06
CPGX,2015-07-02,2016-07-05
GAS,2011-12-12,2016-07-01
TE,2000-01-01,2016-07-01
CVC,2010-12-17,2016-06-22
BXLT,2015-07-01,2016-06-03
CCE,2000-01-01,2016-05-31
ARG,2009-09-28,2016-05-23
TWC,2000-01-01,2016-05-18
SNDK,2000-01-01,2016-05-13
ADT,2012-10-01,2016-05-03
GME,2007-12-13,2016-04-25
THC,2000-01-01,2016-04-18
CAM,2000-01-01,2016-04-04
POM,2000-01-01,2016-03-30
ESV,2012-07-31,2016-03-30
GMCR,2014-03-21,2016-03-07
CNX,2000-01-01,2016-03-04
PCL,2000-01-01,2016-02-22
PCP,2000-01-01,2016-02-01
BRCM,2000-01-01,2016-02-01
CB,2010-07-14,2016-01-19
FOSL,2012-04-03,2016-01-05
ALTR,2000-01-01,2015-12-29
CMCSK,2015-09-18,2015-12-15
CSC,2000-01-01,2015-12-01
SIAL,2000-01-01,2015-11-19
GNW,2000-01-01,2015-11-18
HCBK,2000-01-01,2015-11-02
JOY,2011-02-25,2015-10-07
HSP,2000-01-01,2015-09-02
PLL,2000-01-01,2015-08-28
DTV,2000-01-01,2015-07-29
NE,2000-01-01,2015-07-20
FDO,2000-01-01,2015-07-08
KRFT,2012-10-02,2015-07-06
ATI,2000-01-01,2015-07-02
TEG,2000-01-01,2015-07-01
QEP,2010-06-30,2015-07-01
LO,2008-06-10,2015-06-11
WIN,2000-01-01,2015-04-07
AGN,2000-01-01,2015-03-23
DNR,2000-01-01,2015-03-23
NBR,2000-01-01,2015-03-23
AVP,2000-01-01,2015-03-23
CFN,2000-01-01,2015-03-18
PETM,2012-10-10,2015-03-12
SWY,2000-01-01,2015-01-27
COV,2011-02-28,2015-01-27
BMS,2019-06-07,2014-12-05
JBL,2000-01-01,2014-11-05
BTU,2000-01-01,2014-09-20
GHC,2000-01-01,2014-09-20
RDC,2000-01-01,2014-08-18
X,2000-01-01,2014-07-02
FRX,2000-01-01,2014-07-01
IGT,2000-01-01,2014-06-20
LSI,2000-01-01,2014-05-08
BEAM,2000-01-01,2014-05-01
SLM,2000-01-01,2014-05-01
CLF,2000-01-01,2014-04-02
WPX,2011-12-31,2014-03-21
LIFE,2000-01-01,2014-01-24
ANF,2000-01-01,2013-12-23
JDSU,2000-01-01,2013-12-23
TER,2000-01-01,2013-12-23
MOLX,2000-01-01,2013-12-10
JCP,2000-01-01,2013-12-02
NYX,2000-01-01,2013-11-13
DELL,2000-01-01,2013-10-29
AMD,2017-03-20,2013-09-20
SAI,2000-01-01,2013-09-20
BMC,2000-01-01,2013-09-10
